inspection_id,dba_name,facility_type,risk,address,zip,inspection_date,inspection_type,results,latitude,longitude
2615530,LA MICHOACANA ICE CREAM SHOP 4,Restaurant,Risk 1 (High),4614 W DIVERSEY AVE,60639,2025-04-10,Canvass Re-Inspection,Pass,41.93169646610892,-87.74254645501154
2615549,CHCAGO FRENCH PRESS @ UCHICAGO,Restaurant,Risk 1 (High),970 E 58TH ST,60637,2025-04-10,Canvass,Pass,41.78968353113749,-87.6013989776005
2615521,ORGANICLIFE,School,Risk 1 (High),9535 S LOOMIS ST,60643,2025-04-10,Canvass,Pass,41.72025066493471,-87.65752453407546
2615568,EAST SIDE CHILD DEVELOPMENT,Daycare Above and Under 2 Years,Risk 1 (High),13338-40 S BRANDON AVE,60633,2025-04-10,License,Pass,41.652511409051534,-87.54606578976836
2615500,THY ENTERTAINMENT LLC,Restaurant,Risk 1 (High),1356 W LAKE ST,60607,2025-04-10,License,Pass,41.88555076582964,-87.66100243012404
2615514,WOODLAWN DINING COMMONS,DINING HALL,Risk 1 (High),1156 E 61ST ST,60637,2025-04-10,Canvass,Pass,41.78426556872143,-87.59731481344899
2615577,JIMMY JOHNS,Restaurant,Risk 1 (High),1519 E 55TH ST,60615,2025-04-10,Canvass,Pass,41.795082532364255,-87.58831293902966
2615539,Q SAZON MEXICAN RESTAURANT,Restaurant,Risk 1 (High),8451 S PULASKI RD,60652,2025-04-10,Canvass,Pass,41.73880044687521,-87.72142255898846
2615498,BURGER PAPI,Restaurant,Risk 3 (Low),5728 S ARCHER AVE,60638,2025-04-10,License,Pass,41.79689999850765,-87.75543001827512
2615573,TTS TACOS & TEQUILAS,Restaurant,Risk 1 (High),1438 W CHICAGO AVE,60642,2025-04-10,Canvass Re-Inspection,Pass,41.89623435694756,-87.66401078882515
2615505,CMM FOOD SERVICES,Restaurant,Risk 1 (High),7500 S PULASKI RD,60652,2025-04-10,Canvass,Pass,41.756876394824594,-87.72232173825547
2615493,Bloop Bloop,Restaurant,Risk 2 (Medium),2205 W MONTROSE AVE,60618,2025-04-10,License,Pass,41.96127155456048,-87.68405491509883
2615534,Morton Career Academy,School,Risk 1 (High),431 N Troy (3132W),60612,2025-04-10,Canvass,Fail,41.8892866576457,-87.70498849654948
2615538,OUTPOST MEXICAN EATERY,Restaurant,Risk 1 (High),520 W HARRISON ST,60607,2025-04-10,Canvass,Out of Business,41.874504999844035,-87.64046641424397
2615519,"SMARTY PANTS EARLY LEARNING CENTER, INC.",Daycare Above and Under 2 Years,Risk 1 (High),710 E 47TH ST,60653,2025-04-10,Canvass,Pass,41.809615926101415,-87.60848473644803
2615518,"CASABLANCA SUPERMARKET, LTD",Restaurant,Risk 1 (High),5441 N EAST RIVER RD,60656,2025-04-10,License Re-Inspection,Pass w/ Conditions,41.978307146086195,-87.84631557802447
2615499,BURGER PAPI,Restaurant,Risk 3 (Low),5728 S ARCHER AVE,60638,2025-04-10,License,Pass,41.79689999850765,-87.75543001827512
2615531,Clay,School,Risk 1 (High),13231 S Burley (3234E),60633,2025-04-10,Canvass,Fail,41.654559368362314,-87.54457700292264
2615543,PRET A MANGER @UCHICAGO,Restaurant,Risk 1 (High),5706 S UNIVERSITY AVE,60637,2025-04-10,Canvass,Pass,41.79116632879206,-87.59821550796998
2615551,PRESS CAFE,Restaurant,Risk 1 (High),1427 E 60TH ST,60637,2025-04-10,Canvass,Pass,41.78599540939683,-87.59039689335319
2615516,ANDY'S DELI & BAKERY,Bakery,Risk 1 (High),5454 N MILWAUKEE AVE,60630,2025-04-10,Canvass,Pass w/ Conditions,41.98060128548532,-87.77241939396974
2615512,THE HURLEY TAP,Restaurant,Risk 1 (High),1645 W CORTLAND ST,60622,2025-04-10,Canvass,Pass,41.91597456632108,-87.66962157196225
2615564,TACO PROS,Restaurant,Risk 1 (High),7959 S CICERO AVE,60652,2025-04-10,Canvass,Pass,41.74791797803614,-87.74115707075492
2615575,SUBWAY,Restaurant,Risk 1 (High),6237 S HALSTED ST,60621,2025-04-10,Canvass,Pass,41.780331089294336,-87.6446543895969
2615542,UNIVERSITY OF CHICAGO,Restaurant,Risk 1 (High),5700 S UNIVERSITY AVE,60637,2025-04-10,Canvass,Pass,41.79133584047486,-87.5982201796226
2615494,"COMMUNITY FIRST HEALTHCARE OF ILLINOIS, INC.",Hospital,Risk 1 (High),5645 W ADDISON ST,60634,2025-04-10,Canvass,Fail,41.94574757468233,-87.7685382793401
2615508,LA MICHOACANAS,Restaurant,Risk 2 (Medium),3701 W 26th ST,60623,2025-04-10,License,Pass w/ Conditions,41.844239638421165,-87.71729018108152
2615510,TACO BELL,Restaurant,Risk 1 (High),255 W GARFIELD BLVD,60621,2025-04-10,Canvass,Pass w/ Conditions,41.7940538545927,-87.63276036126142
2615535,DOMINO'S,Restaurant,Risk 2 (Medium),3918-3920 N CICERO AVE,60641,2025-04-10,Complaint,Pass,41.95213643037515,-87.74742887301954
2615545,SNAIL THAI CUISINE,Restaurant,Risk 1 (High),1649 E 55TH ST,60615,2025-04-10,Canvass,Pass,41.79510794419416,-87.58467767057986
2615525,"COMMUNITY FIRST HEALTHCARE OF ILLINOIS, INC.",Hospital,Risk 1 (High),5645 W ADDISON ST,60634,2025-04-10,Canvass,Fail,41.94574757468233,-87.7685382793401
2615496,New Salazar Bakery,Bakery,Risk 1 (High),4434 W DIVERSEY AVE,60639,2025-04-10,Canvass,Fail,41.93175234570498,-87.73824509512977
2615558,BARRACO'S PIZZA AND THE VINEYARD BANQUETS,Restaurant,Risk 1 (High),2105-2121 W 95TH ST,60643,2025-04-10,Canvass,Pass,41.72093007202349,-87.67509659799771
2615544,C-DAWG'S BARBEQUE LLC,Restaurant,Risk 1 (High),3146 E 133RD ST,60633,2025-04-10,Canvass,Pass,41.65378868832864,-87.5464896320053
2615520,GREEN LINE FOOD MART,Grocery Store,Risk 1 (High),7701 S RACINE AVE,60620,2025-04-10,Canvass,Fail,41.75404790407191,-87.65368521772726
2615578,MAC'S AMERICAN FOOD,Restaurant,Risk 1 (High),1801 W DIVISION ST,60622,2025-04-10,Canvass Re-Inspection,Pass,41.90315615397302,-87.67242231949352
2615540,EL PROGRESSO,Grocery Store,Risk 1 (High),3937 W 31ST ST,60623,2025-04-10,Complaint,Fail,41.83678848302045,-87.7233568547893
2615504,LAKESIDE MAATI MARKET,Grocery Store,Risk 3 (Low),4725 N SHERIDAN RD,60640,2025-04-10,License,Pass w/ Conditions,41.96807541678568,-87.65466235421313
2615524,THY ENTERTAINMENT LLC,Restaurant,Risk 1 (High),1356 W LAKE ST,60607,2025-04-10,License,Pass,41.88555076582964,-87.66100243012404
2615491,BURGER PAPI,Restaurant,Risk 1 (High),5728 S ARCHER AVE,60638,2025-04-10,License,Pass,41.79689999850765,-87.75543001827512
2615579,MR V'S CARRYOUT,Restaurant,Risk 1 (High),5285 N ELSTON AVE,60630,2025-04-10,Canvass,Pass,41.97713934140232,-87.7545880091366
2615501,Nino's Heroes Elementary,School,Risk 1 (High),8344 S Commercial (3000E),60617,2025-04-10,Canvass,Fail,41.743749689418706,-87.55189813096123
2615490,"KIDDIELAND EDUCATIONAL CENTER OF EXCELLENCE II, IN",Children's Services Facility,Risk 1 (High),5142 W BELMONT AVE,60641,2025-04-10,Canvass,Pass,41.93881798979295,-87.75596306385245
2615548,PHODEGA,Restaurant,Risk 1 (High),1924 W DIVISION ST,60622,2025-04-10,Canvass,Pass w/ Conditions,41.90332444964588,-87.67582545503593
2615495,ORGANICLIFE,School,Risk 1 (High),1309 W 95TH ST,60643,2025-04-10,Canvass,Pass,41.72119387586951,-87.65577682324725
2615554,HANDS ON THAI & SUSHI,Restaurant,Risk 1 (High),5056 W Irving Park RD,60641,2025-04-10,Canvass,Fail,41.95344087020122,-87.75455318593346
2615552,HIMALAYAN SHERPA KITCHEN,Restaurant,Risk 1 (High),518 W HARRISON ST,60607,2025-04-10,Canvass,Pass,41.87450605062665,-87.64038050243174
2615570,MO' WINGS PASTA  AND GRILL,Restaurant,Risk 1 (High),7959 S ASHLAND AVE,60620,2025-04-10,Canvass,Fail,41.74862470541784,-87.66325181074512
2615486,BUTTERFLY,Restaurant,Risk 1 (High),1139-1143 W GRAND AVE,60642,2025-04-09,Canvass,Pass,41.890984177867686,-87.65612123223337
2615413,LA CONCHA BAKERY,Bakery,Risk 2 (Medium),5610 W 63RD ST,60638,2025-04-09,License,Pass,41.77815325152719,-87.7622072724261
2615403,QUE BUENO 312,Restaurant,Risk 1 (High),5059 W DIVERSEY AVE,60639,2025-04-09,Canvass Re-Inspection,Pass,41.931325649974134,-87.7538350532785
2615387,PETE'S MARKET #3,Grocery Store,Risk 1 (High),4343 S PULASKI RD,60632,2025-04-09,Complaint Re-Inspection,Pass,41.81391431134689,-87.7236649419466
2615398,BIRRIERIA DON LUIS,Restaurant,Risk 1 (High),3544 E 106TH ST,60617,2025-04-09,Canvass,Out of Business,41.70285190603626,-87.537139292445
2615435,DUNKIN DONUTS,Restaurant,Risk 2 (Medium),4649 S CICERO AVE,60632,2025-04-09,Complaint,Pass,41.80799862039474,-87.74301215645471
2615466,LA ESQUINA DEL TACO,Restaurant,Risk 1 (High),3259 W 63RD ST,60629,2025-04-09,Canvass,Pass,41.77882757627881,-87.70543426650146
2615414,JESSCAFE,Restaurant,Risk 1 (High),5819 W BELMONT AVE,60634,2025-04-09,Canvass Re-Inspection,Pass,41.93839141038951,-87.77211894533082
2615394,ST. PASCAL,School,Risk 1 (High),6143 W IRVING PARK RD,60634,2025-04-09,Canvass,Pass,41.95288058655741,-87.78097043925472
2615407,AMERICAN ACCORD FOOD CORP,Catering,Risk 1 (High),10543-45 S EWING AVE,60617,2025-04-09,Canvass,Pass,41.70328015056708,-87.53513857996452
2615431,PEQUOD'S PIZZA,Restaurant,Risk 1 (High),2207 N CLYBOURN AVE,60614,2025-04-09,Complaint,Pass,41.92185083829164,-87.66451630736967
2615411,"BABAS FAMOUS STEAK AND LEMONADE ON LARAMIE, INC",Restaurant,Risk 1 (High),345 N CENTRAL AVE,60644,2025-04-09,License,Fail,41.88708768190208,-87.76495725072779
2615390,"FIESTA BURGER HEAVEN, INC.",Restaurant,Risk 1 (High),7832 S ASHLAND AVE,60620,2025-04-09,Canvass Re-Inspection,Pass,41.75117948402018,-87.66360548792919
2615460,CHIPOTLE MEXICAN GRILL #3651,Restaurant,Risk 1 (High),5533 S HARLEM AVE,60638,2025-04-09,Canvass,Pass,41.790889200425,-87.80133630631802
2615438,LEMONS ENTERPRISES INC.,Restaurant,Risk 1 (High),311 E 75TH ST,60619,2025-04-09,Canvass,Pass,41.7582508065721,-87.61779767256007
2615423,McKay,School,Risk 1 (High),6901 S Fairfield (2732W),60629,2025-04-09,Canvass,Pass,41.76810662407005,-87.6917494356383
2615444,PHO NO.1 BREWING CO.VIETNAMESE NOODLE & CRAFT BEER,Restaurant,Risk 1 (High),7958 W BELMONT AVE,60634,2025-04-09,Canvass,Pass,41.937859427847215,-87.82625503087803
2615463,KRISPY KRUNCHY CHICKEN,Restaurant,Risk 1 (High),1840 W PETERSON AVE,60660,2025-04-09,Complaint Re-Inspection,Fail,41.99083406875133,-87.67677172960916
2615401,LA PETITE PASTRY INC,Restaurant,Risk 2 (Medium),5610 W 63RD ST,60638,2025-04-09,Canvass,Out of Business,41.77815325152719,-87.7622072724261
2615418,"HACHI SUSHI, LLC",Restaurant,Risk 1 (High),2526 W CERMAK RD,60608,2025-04-09,Canvass,Pass,41.85210065324028,-87.68905111060724
2615420,POPEYE'S #832,Restaurant,Risk 1 (High),6340 N BROADWAY,60660,2025-04-09,Complaint,Fail,41.99759055792071,-87.66063912272912
2615419,ART IN MOTION SCHOOL,School,Risk 2 (Medium),7415 S EAST END AVE,60649,2025-04-09,Canvass Re-Inspection,Fail,41.76016159438004,-87.58337498057953
2615470,JR'S JAMAICAN TROPICAL CAFE,Restaurant,Risk 1 (High),8010 S ASHLAND AVE,60620,2025-04-09,Canvass Re-Inspection,Fail,41.74815353932014,-87.6635265480155
2615476,JUST TURKEY,Restaurant,Risk 1 (High),4353 S COTTAGE GROVE AVE,60653,2025-04-09,License,Pass,41.81525376681689,-87.60653032909327
2615487,THIMI'S EMPANADAS,Restaurant,Risk 1 (High),1247 S WESTERN AVE,60608,2025-04-09,Canvass,Pass w/ Conditions,41.86501289197198,-87.68584882640553
2615458,POPEYE'S,Restaurant,Risk 1 (High),616 E 103RD ST,60628,2025-04-09,Complaint,Pass,41.70750956551268,-87.60818281887107
2615443,CARMEN NAVA,Mobile Prepared Food Vendor,Risk 3 (Low),3654 W 16TH ST,60623,2025-04-09,License,Pass,41.859058484303326,-87.71741663182038
2615485,TURKISH DONER,Restaurant,Risk 1 (High),1007 W ARGYLE ST,60640,2025-04-09,License,Not Ready,41.97319805257552,-87.65524806242914
2615472,THE PERCH KITCHEN & TAP,Restaurant,Risk 1 (High),1932 W DIVISION ST,60622,2025-04-09,Canvass,Fail,41.903318259235434,-87.67618207856104
2615462,"TASTY SPOT FOOD & GRILL ON 67, INC.",Grocery Store,Risk 1 (High),1508 E 67TH ST,60637,2025-04-09,Canvass Re-Inspection,Pass,41.77342281569598,-87.58833686934243
2615430,M.W. PRINCE HALL GRAND LODGE,Restaurant,Risk 1 (High),809 E 42ND PL,60653,2025-04-09,Canvass,Pass w/ Conditions,41.81784170356951,-87.60630226085362
2615445,STAX CAFE,Restaurant,Risk 1 (High),1401 W TAYLOR ST,60607,2025-04-09,Canvass,Fail,41.86922878759179,-87.66170014621903
2615408,JEWEL FOOD STORE #3114,Grocery Store,Risk 1 (High),3128 W 103RD ST,60655,2025-04-09,Canvass Re-Inspection,Pass,41.70631284461492,-87.6997671192086
2615459,AFRO TASTE CUISINE LLC,Restaurant,Risk 1 (High),1010 W ARGYLE ST,60640,2025-04-09,Complaint,Pass,41.973415011961535,-87.65542230934777
2615391,POMPEI BAKERY,Restaurant,Risk 1 (High),1531 W TAYLOR ST,60607,2025-04-09,Complaint,Pass,41.86917024255043,-87.66538446635471
2615424,ASPERION CARE INTERNATIONAL,Long Term Care,Risk 1 (High),4815 S WESTERN BLVD,60609,2025-04-09,Canvass Re-Inspection,Pass,41.80607834471658,-87.68365001390913
2615446,CALUMET FISHERIES INC,Restaurant,Risk 1 (High),3259 E 95TH ST,60617,2025-04-09,Canvass,Pass w/ Conditions,41.72273269460603,-87.5445308299031
2615392,SUBWAY SANDWICH,Restaurant,Risk 1 (High),7908 S HALSTED ST,60620,2025-04-09,Canvass Re-Inspection,Pass,41.75032238740821,-87.64418240605828
2615450,TTS TACOS & TORTAS,Restaurant,Risk 1 (High),4507 W LAWRENCE AVE,60630,2025-04-09,Canvass,Pass,41.96798330540541,-87.74177611404262
2615427,CHURCH'S CHICKEN # 982,Restaurant,Risk 2 (Medium),58 W 79TH ST,60620,2025-04-09,Complaint,Fail,41.75102250298947,-87.62698029363656
2615417,PETE'S FRESH SUPERMARKET,Grocery Store,Risk 1 (High),2526 W CERMAK RD,60608,2025-04-09,Complaint,Pass,41.85210065324028,-87.68905111060724
2615426,TACO BELL CANTINA,Restaurant,Risk 1 (High),1439 N MILWAUKEE AVE,60622,2025-04-09,Canvass,Pass,41.90814745715818,-87.67375422497237
2615483,FIRE HOUSE GRILL,Restaurant,Risk 1 (High),5646 W ROOSEVELT RD,60644,2025-04-09,Canvass,Out of Business,41.86567931830496,-87.76625759772442
2615432,SHINING STAR CHILD DEVELOPMENT,Daycare Above and Under 2 Years,Risk 1 (High),10540-44 S EWING AVE,60617,2025-04-09,Canvass,Pass,41.703336347386745,-87.5354317383637
2615475,VEGAN NOW 2GO,Restaurant,Risk 1 (High),1536 E 75TH ST,60619,2025-04-09,Canvass,Pass,41.75886630279393,-87.5870115107016
2615479,LEXINGTON BETTY SMOKEHOUSE,Restaurant,Risk 1 (High),756 E 111TH ST,60628,2025-04-09,Canvass Re-Inspection,Pass,41.69297593328423,-87.60266451724692
2615397,DOZZY'S GRILL,Restaurant,Risk 1 (High),1811-1835 W HARRISON ST,60612,2025-04-09,Canvass,Out of Business,41.87400327428677,-87.6720101808251
2615410,ST. EDWARD SCHOOL,School,Risk 1 (High),4343 W SUNNYSIDE,60630,2025-04-09,Canvass,Pass w/ Conditions,41.96255184346853,-87.73737268984897
2615481,RAJ DARBAR,Restaurant,Risk 1 (High),2660 N HALSTED ST,60614,2025-04-09,Complaint Re-Inspection,Pass,41.930751911450216,-87.64909233354552
2615400,J. SPICE LLC,Restaurant,Risk 1 (High),1811-1835 W HARRISON ST,60612,2025-04-09,License,Pass w/ Conditions,41.87400327428677,-87.6720101808251
2615395,LA MICHOACANA ICE CREAM SHOP,Restaurant,Risk 1 (High),3591-3597 N MILWAUKEE AVE,60641,2025-04-09,Canvass,Fail,41.94614005344282,-87.73518301995274
2615437,BRIGHT HORIZONS AT ILLINOIS MEDICAL DISTRICT,Children's Services Facility,Risk 1 (High),1851 W HARRISON ST,60612,2025-04-09,Canvass,Pass,41.87397776390627,-87.67363335280653
2615340,POLARIS CLUB,Restaurant,Risk 3 (Low),11601 W TOUHY AVE,60666,2025-04-08,License,Pass,42.00875076599798,-87.90687413400109
2615379,SUBWAY,Restaurant,Risk 1 (High),5203 W FULLERTON AVE,60639,2025-04-08,Canvass,Fail,41.92399496376791,-87.75628276245897
2615343,CHIPOTLE MEXICAN GRILL #3367,Restaurant,Risk 1 (High),725 S SEELEY AVE,60612,2025-04-08,Canvass,Fail,41.87237073877843,-87.67744571098108
2615328,FAIRPLAY FOODS,Grocery Store,Risk 1 (High),4640 S HALSTED ST,60609,2025-04-08,Complaint,Pass,41.809629768022035,-87.64570756512876
2615361,PAK SWEETS INC.,Restaurant,Risk 1 (High),2326 W Devon AVE,60659,2025-04-08,Complaint,Pass,41.997861005185875,-87.68860508498791
2615304,PANERA BREAD #1152,Restaurant,Risk 1 (High),1938 W FULLERTON AVE,60614,2025-04-08,Canvass Re-Inspection,Pass,41.92514195959395,-87.67742471570548
2615332,NATY'S TACOS AND CATERING,Mobile Food Preparer,Risk 2 (Medium),135 N KEDZIE AVE,60612,2025-04-08,Canvass,Pass,41.88390509704504,-87.70605925083947
2615370,GHAREEB NAWAZ EXPRESS,Restaurant,Risk 1 (High),807 W ROOSEVELT RD,60608,2025-04-08,Complaint,Pass,41.86703956362501,-87.64724496385318
2615377,DOS BROS FRESH MEXICAN GRILL,Restaurant,Risk 1 (High),800 N MILWAUKEE AVE,60642,2025-04-08,Canvass,Pass,41.896218800986745,-87.65560389461957
2615333,SANCHEZ TACOS,Restaurant,Risk 1 (High),4001 W OGDEN,60623,2025-04-08,Canvass,Pass,41.850957959367854,-87.72477522322536
2615302,CRYSTAL HANDS DAYCARE CENTER INC.,Daycare Above and Under 2 Years,Risk 1 (High),5934 W MONTROSE AVE,60634,2025-04-08,License,Fail,41.9604750183138,-87.77601851489096
2615330,POLARIS CLUB,Restaurant,Risk 1 (High),11601 W TOUHY AVE,60666,2025-04-08,License,Pass,42.00875076599798,-87.90687413400109
2615345,SUBWAY,Restaurant,Risk 1 (High),1651 W ROOSEVELT RD,60608,2025-04-08,Canvass,Pass,41.866749382827074,-87.66846405285052
2615311,EASTER SEALS METROPOLITAN CHICAGO INC.,School,Risk 1 (High),1939 W 13TH ST.,60608,2025-04-08,Canvass,Fail,41.864844873136285,-87.6752189405459
2615316,MANO MODERN CAFE,Restaurant,Risk 1 (High),851 N ASHLAND AVE,60622,2025-04-08,Canvass,Pass w/ Conditions,41.89758036350436,-87.66718641217582
2615373,PALETERIA AYUTLA,Restaurant,Risk 2 (Medium),2404 W 46TH PL,60632,2025-04-08,Canvass Re-Inspection,Pass,41.80945691736228,-87.68474598934672
2615294,SUBWAY,Restaurant,Risk 1 (High),1656 W 119TH ST,60643,2025-04-08,Canvass,Pass,41.67761612849284,-87.66316025686356
